path,artwork,detail
./Particolari immagini\Annunciazione (Leonardo)\0_0.png,Annunciazione (Leonardo),0_0.png
./Particolari immagini\Annunciazione (Leonardo)\0_1.png,Annunciazione (Leonardo),0_1.png
./Particolari immagini\Annunciazione (Leonardo)\1_0.png,Annunciazione (Leonardo),1_0.png
./Particolari immagini\Annunciazione (Leonardo)\1_1.png,Annunciazione (Leonardo),1_1.png
./Particolari immagini\Annunciazione (Leonardo)\Angelo.png,Annunciazione (Leonardo),Angelo.png
./Particolari immagini\Annunciazione (Leonardo)\original.png,Annunciazione (Leonardo),original.png
./Particolari immagini\Annunciazione (Leonardo)\Vergine.png,Annunciazione (Leonardo),Vergine.png
./Particolari immagini\Primavera (Botticelli)\0_0.png,Primavera (Botticelli),0_0.png
./Particolari immagini\Primavera (Botticelli)\0_1.png,Primavera (Botticelli),0_1.png
./Particolari immagini\Primavera (Botticelli)\1_0.png,Primavera (Botticelli),1_0.png
./Particolari immagini\Primavera (Botticelli)\1_1.png,Primavera (Botticelli),1_1.png
./Particolari immagini\Primavera (Botticelli)\Cupido.png,Primavera (Botticelli),Cupido.png
./Particolari immagini\Primavera (Botticelli)\Mercurio.png,Primavera (Botticelli),Mercurio.png
./Particolari immagini\Primavera (Botticelli)\original.png,Primavera (Botticelli),original.png
./Particolari immagini\Primavera (Botticelli)\Tre Grazie.png,Primavera (Botticelli),Tre Grazie.png
./Particolari immagini\Primavera (Botticelli)\Venere.png,Primavera (Botticelli),Venere.png
./Particolari immagini\Primavera (Botticelli)\Zefiro Clori e Primavera.png,Primavera (Botticelli),Zefiro Clori e Primavera.png
./Particolari immagini\Venere (Botticelli)\0_0.png,Venere (Botticelli),0_0.png
./Particolari immagini\Venere (Botticelli)\0_1.png,Venere (Botticelli),0_1.png
./Particolari immagini\Venere (Botticelli)\1_0.png,Venere (Botticelli),1_0.png
./Particolari immagini\Venere (Botticelli)\1_1.png,Venere (Botticelli),1_1.png
./Particolari immagini\Venere (Botticelli)\original.png,Venere (Botticelli),original.png
./Particolari immagini\Venere (Botticelli)\Una delle Grazie.png,Venere (Botticelli),Una delle Grazie.png
./Particolari immagini\Venere (Botticelli)\Venere.png,Venere (Botticelli),Venere.png
./Particolari immagini\Venere (Botticelli)\Zefiro e Clori.png,Venere (Botticelli),Zefiro e Clori.png
./Particolari immagini\Venere di Urbino (Tiziano)\0_0.png,Venere di Urbino (Tiziano),0_0.png
./Particolari immagini\Venere di Urbino (Tiziano)\0_1.png,Venere di Urbino (Tiziano),0_1.png
./Particolari immagini\Venere di Urbino (Tiziano)\1_0.png,Venere di Urbino (Tiziano),1_0.png
./Particolari immagini\Venere di Urbino (Tiziano)\1_1.png,Venere di Urbino (Tiziano),1_1.png
./Particolari immagini\Venere di Urbino (Tiziano)\Domestica.png,Venere di Urbino (Tiziano),Domestica.png
./Particolari immagini\Venere di Urbino (Tiziano)\original.png,Venere di Urbino (Tiziano),original.png
